id,c_tipo_relacion,descripcion,fecha_inicio_vigencia,fecha_fin_vigencia
catalogos_tipo_relacion1,01,Nota de crédito de los documentos relacionados,2017-01-01,
catalogos_tipo_relacion2,02,Nota de débito de los documentos relacionados,2017-01-01,
catalogos_tipo_relacion3,03,Devolución de mercancía sobre facturas o traslados previos,2017-01-01,
catalogos_tipo_relacion4,04,Sustitución de los CFDI previos,2017-01-01,
catalogos_tipo_relacion5,05,Traslados de mercancias facturados previamente,2017-01-01,
catalogos_tipo_relacion6,06,Factura generada por los traslados previos,2017-01-01,
catalogos_tipo_relacion7,07,CFDI por aplicación de anticipo,2017-07-27,
