id,c_patente_aduanal,fecha_inicio_vigencia,fecha_fin_vigencia
catalogos_patente167,589,2001-05-18,
catalogos_patente168,590,2001-05-14,
catalogos_patente169,592,2001-05-14,
catalogos_patente170,595,2001-06-12,
catalogos_patente171,596,2001-05-18,
catalogos_patente172,597,2001-05-21,
catalogos_patente173,598,2001-05-18,
catalogos_patente174,599,2001-05-21,
catalogos_patente175,600,2001-05-14,
catalogos_patente176,601,2001-05-16,
catalogos_patente177,604,2001-05-15,
catalogos_patente178,606,2001-06-08,
catalogos_patente179,607,2001-05-21,
catalogos_patente180,608,2001-05-15,
catalogos_patente181,609,2001-05-18,
catalogos_patente182,610,2001-05-16,
catalogos_patente183,611,2001-05-14,
catalogos_patente184,613,2001-05-14,
catalogos_patente185,614,2001-05-16,
catalogos_patente186,615,2001-05-18,
catalogos_patente187,617,2001-06-29,
catalogos_patente188,619,2001-05-17,
catalogos_patente189,620,2001-05-15,
catalogos_patente190,622,2001-06-12,
catalogos_patente191,624,2001-05-15,
catalogos_patente192,625,2001-05-18,
catalogos_patente193,626,2003-04-09,
catalogos_patente194,627,2001-05-17,
catalogos_patente195,628,2001-05-21,
catalogos_patente196,629,2001-06-08,
catalogos_patente197,630,2001-05-14,
catalogos_patente198,631,2001-05-11,
catalogos_patente199,632,2001-05-22,
catalogos_patente200,633,2001-05-18,
catalogos_patente201,634,2001-05-21,
catalogos_patente202,636,2002-10-28,
catalogos_patente203,637,2001-05-18,
catalogos_patente204,638,2001-05-16,
catalogos_patente205,639,2001-05-23,
catalogos_patente206,640,2001-05-21,
catalogos_patente207,641,2001-05-16,
catalogos_patente208,643,2001-05-18,
catalogos_patente209,644,2001-06-21,
catalogos_patente210,645,2001-05-22,
catalogos_patente211,646,2001-05-18,
catalogos_patente212,647,2001-06-15,
catalogos_patente213,648,2001-05-18,
catalogos_patente214,649,2001-05-17,
catalogos_patente215,651,2001-05-17,
catalogos_patente216,652,2001-05-16,
catalogos_patente217,653,2001-05-21,
catalogos_patente218,654,2001-05-21,
catalogos_patente219,655,2001-05-11,
catalogos_patente220,656,2001-05-11,
catalogos_patente221,657,2001-05-18,
catalogos_patente222,659,2001-05-16,
catalogos_patente223,661,2001-05-14,
catalogos_patente224,662,2001-05-17,
catalogos_patente225,663,2001-05-23,
catalogos_patente226,664,2001-05-18,
catalogos_patente227,665,2001-05-14,
catalogos_patente228,666,2001-05-17,
catalogos_patente229,667,2001-05-11,
catalogos_patente230,668,2001-05-17,
catalogos_patente231,669,2001-05-21,
catalogos_patente232,670,2001-05-21,
catalogos_patente233,671,2001-05-18,
catalogos_patente234,672,2001-05-16,
catalogos_patente235,673,2001-05-14,
catalogos_patente236,674,2001-05-17,
catalogos_patente237,675,2001-05-11,
catalogos_patente238,676,2001-05-15,
catalogos_patente239,677,2001-05-21,
catalogos_patente240,678,2001-05-11,
catalogos_patente241,679,2001-05-21,
catalogos_patente242,680,2001-05-14,
catalogos_patente243,681,2001-05-22,
catalogos_patente244,682,2001-05-21,
catalogos_patente245,683,2001-05-16,
catalogos_patente246,684,2001-05-21,
catalogos_patente247,685,2001-05-16,
catalogos_patente248,686,2001-05-17,
catalogos_patente249,687,2001-05-18,
catalogos_patente250,688,2002-06-28,
catalogos_patente251,689,2001-05-17,
catalogos_patente252,690,2001-05-21,
catalogos_patente253,691,2001-05-18,
catalogos_patente254,692,2001-05-21,
catalogos_patente255,693,2001-05-16,
catalogos_patente256,695,2001-05-17,
catalogos_patente257,696,2001-05-17,
catalogos_patente258,697,2001-05-18,
catalogos_patente259,699,2001-05-15,
catalogos_patente260,700,2001-05-14,
catalogos_patente261,701,2001-05-14,
catalogos_patente262,702,2001-05-21,
catalogos_patente263,705,2001-05-21,
catalogos_patente264,706,2001-05-21,
catalogos_patente265,707,2001-05-17,
catalogos_patente266,708,2001-05-16,
catalogos_patente267,709,2001-05-18,
catalogos_patente268,710,2001-05-18,
catalogos_patente269,711,2001-05-14,
catalogos_patente270,712,2001-05-21,
catalogos_patente271,713,2001-05-21,
catalogos_patente272,714,2001-05-08,
catalogos_patente273,715,2001-05-15,
catalogos_patente274,716,2001-05-18,
catalogos_patente275,717,2001-05-22,
catalogos_patente276,718,2001-05-15,
catalogos_patente277,719,2001-05-21,
catalogos_patente278,720,2001-05-21,
catalogos_patente279,721,2001-05-23,
catalogos_patente280,722,2001-05-16,
catalogos_patente281,723,2001-05-15,
catalogos_patente282,724,2001-05-21,
catalogos_patente283,725,2001-05-15,
catalogos_patente284,726,2001-06-14,
catalogos_patente285,727,2001-05-21,
catalogos_patente286,728,2001-05-21,
catalogos_patente287,729,2001-05-23,
catalogos_patente288,731,2001-05-15,
catalogos_patente289,732,2001-05-21,
catalogos_patente290,733,2001-05-22,
catalogos_patente291,734,2001-05-21,
catalogos_patente292,735,2001-05-21,
catalogos_patente293,736,2001-05-18,
catalogos_patente294,737,2001-05-11,
catalogos_patente295,738,2001-05-23,
catalogos_patente296,739,2001-05-11,
catalogos_patente297,740,2001-05-21,
catalogos_patente298,741,2001-05-16,
catalogos_patente299,742,2001-05-18,
catalogos_patente300,743,2001-05-18,
catalogos_patente301,744,2001-05-22,
catalogos_patente302,745,2001-05-18,
catalogos_patente303,746,2001-06-21,
catalogos_patente304,747,2001-05-17,
catalogos_patente305,748,2001-05-21,
catalogos_patente306,749,2001-05-18,
catalogos_patente307,750,2001-05-14,
catalogos_patente308,751,2001-05-15,
catalogos_patente309,752,2001-05-21,
catalogos_patente310,753,2001-05-21,
catalogos_patente311,754,2001-05-17,
catalogos_patente312,755,2001-05-15,
catalogos_patente313,756,2001-05-15,
catalogos_patente314,757,2001-05-15,
catalogos_patente315,758,2001-05-14,
catalogos_patente316,760,2001-05-14,
catalogos_patente317,761,2001-05-16,
catalogos_patente318,762,2001-05-11,
catalogos_patente319,763,2001-05-21,
catalogos_patente320,764,2001-05-14,
catalogos_patente321,765,2001-05-18,
catalogos_patente322,766,2001-05-24,
catalogos_patente323,767,2001-05-23,
catalogos_patente324,768,2001-05-14,
catalogos_patente325,769,2001-05-15,
catalogos_patente326,770,2001-05-21,
catalogos_patente327,771,2001-05-21,
catalogos_patente328,772,2001-05-16,
catalogos_patente329,773,2001-05-17,
catalogos_patente330,774,2001-05-21,
catalogos_patente331,775,2001-09-06,
catalogos_patente332,776,2001-05-18,
catalogos_patente333,777,2001-05-21,
catalogos_patente334,778,2001-05-17,
catalogos_patente335,779,2001-05-21,
catalogos_patente336,780,2001-05-16,
catalogos_patente337,781,2001-05-21,
catalogos_patente338,782,2001-05-23,
catalogos_patente339,783,2001-05-11,
catalogos_patente340,784,2001-05-15,
catalogos_patente341,785,2001-05-16,
catalogos_patente342,786,2001-05-18,
catalogos_patente343,787,2001-05-18,
catalogos_patente344,788,2001-05-18,
catalogos_patente345,790,2001-05-15,
catalogos_patente346,792,2001-05-15,
catalogos_patente347,794,2001-05-22,
catalogos_patente348,795,2001-05-21,
catalogos_patente349,796,2001-05-14,
catalogos_patente350,797,2001-05-17,
catalogos_patente351,798,2001-05-16,
catalogos_patente352,799,2001-05-18,
catalogos_patente353,800,2001-05-21,
catalogos_patente354,801,2001-05-23,
catalogos_patente355,803,2001-05-16,
catalogos_patente356,804,2001-05-17,
catalogos_patente357,805,2002-05-29,
catalogos_patente358,806,2001-05-07,
catalogos_patente359,807,2001-05-14,
catalogos_patente360,808,2001-05-17,
catalogos_patente361,809,2001-05-21,
catalogos_patente362,810,2001-05-18,
catalogos_patente363,811,2001-05-21,
catalogos_patente364,812,2001-05-15,
catalogos_patente365,813,2001-05-21,
catalogos_patente366,814,2001-05-14,
catalogos_patente367,815,2001-05-23,
catalogos_patente368,816,2001-05-23,
catalogos_patente369,817,2001-05-16,
